epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.039,1.80345,2.48601,1.31097,0.00984,0.92453,0.03669,0.01896,1.66691,3.41502,1.1553,0.000648649,0.000648649,0.000648649
2,810.241,1.53434,1.63931,1.23154,0.93638,0.22215,0.59738,0.33224,1.4626,2.7887,1.22683,0.00128927,0.00128927,0.00128927
3,1241.62,1.45651,1.45885,1.1987,0.76916,0.6727,0.77416,0.44088,1.40471,2.03434,1.25888,0.0019035,0.0019035,0.0019035
4,1720.94,1.42547,1.29763,1.18305,0.79778,0.69245,0.79022,0.50147,1.36138,1.42842,1.22314,0.0018812,0.0018812,0.0018812
5,2035.34,1.34478,1.18991,1.15334,0.78243,0.7871,0.86055,0.53943,1.38614,1.39783,1.25028,0.0018416,0.0018416,0.0018416
6,2368.64,1.26458,1.0692,1.12218,0.78301,0.79057,0.86762,0.54639,1.34079,1.17694,1.2204,0.001802,0.001802,0.001802
7,2711.77,1.28593,1.01907,1.12086,0.83379,0.86038,0.88568,0.57192,1.23283,1.10312,1.16748,0.0017624,0.0017624,0.0017624
8,3171.16,1.24775,1.00559,1.11918,0.83135,0.8464,0.89893,0.61688,1.17244,1.0315,1.16071,0.0017228,0.0017228,0.0017228
9,3654.77,1.18372,0.92184,1.09168,0.77016,0.7903,0.85849,0.55865,1.19533,1.08589,1.15613,0.0016832,0.0016832,0.0016832
10,4029.77,1.15448,0.88804,1.08631,0.83556,0.83396,0.89847,0.61877,1.12346,0.92848,1.13735,0.0016436,0.0016436,0.0016436
11,4347.74,1.15543,0.86787,1.07401,0.8398,0.84073,0.90096,0.62843,1.12194,0.91268,1.15981,0.001604,0.001604,0.001604
12,4676.22,1.16704,0.86169,1.11007,0.82851,0.83774,0.89797,0.59588,1.17157,0.9402,1.15277,0.0015644,0.0015644,0.0015644
13,5006.24,1.13845,0.81343,1.07917,0.81786,0.87358,0.89998,0.61666,1.15987,0.88462,1.15043,0.0015248,0.0015248,0.0015248
14,5337.28,1.07707,0.77918,1.05494,0.84842,0.85543,0.91746,0.66299,1.02193,0.79683,1.10245,0.0014852,0.0014852,0.0014852
15,5669.13,1.10262,0.7977,1.0651,0.87279,0.8544,0.92702,0.65482,1.09314,0.8509,1.13035,0.0014456,0.0014456,0.0014456
